country,iso,year,General government total expenditure,General government revenue
Brunei Darussalam,BRN,2008,6.146,14.306
Cameroon,CMR,2008,1980.992,2214.088
Chad,TCD,2008,874.409,1042.561
Chile,CHL,2008,20364.623,24241.035
Colombia,COL,2008,127887.564,126673.508
"Congo, Republic of",COG,2008,1255.619,2497.256
Dem. Rep. of Congo,COD,2008,1358.8,1238.9
Ecuador,ECU,2008,21.762,22.062
Equatorial Guinea,GNQ,2008,1759.331,3051.786
Gabon,GAB,2008,1314.592,2078.129
Ghana,GHA,2008,7.361,4.813
Guinea,GIN,2008,3231.882,3351.789
Guyana,GUY,2008,120.815,105.437
Indonesia,IDN,2008,1050154.508,1053084.642
Iran,IRN,2008,828825.507,851710.199
Iraq,IRQ,2008,89904.108,88560.647
Kazakhstan,KAZ,2008,4345.252,4542.243
Kuwait,KWT,2008,16.009,23.994
Libya,LBY,2008,43.534,72.897
Malaysia,MYS,2008,217.105,189.645
Mali,MLI,2008,828.24,741.5
Mauritania,MRT,2008,245.739,204.551
Mexico,MEX,2008,3178.805,3059.643
Mongolia,MNG,2008,2466.774,2170.37
Myanmar,MMR,2008,4451.548,3677.36
Namibia,NAM,2008,19.67,22.753
Nigeria,NGA,2008,5628.537,7861.634
Norway,NOR,2008,1014.692,1495.59
Oman,OMN,2008,6.867,10.801
Papua New Guinea,PNG,2008,6.498,7.041
Peru,PER,2008,69.594,79.138
Qatar,QAT,2008,99.958,143.736
Russia,RUS,2008,14157.027,16169.099
Saudi Arabia,SAU,2008,564.657,1179.701
Sierra Leone,SLE,2008,1207.332,948.41
Sudan,SDN,2008,26.733,27.378
Suriname,SUR,2008,2.156,2.311
Syrian Arab Republic,SYR,2008,561.327,491.205
Tanzania,TZA,2008,6062.281,5424.305
Timor Leste,TLS,2008,0.57,2.561
Trinidad and Tobago ,TTO,2008,51.083,64.388
Turkmenistan,TKM,2008,5.375,10.323
United Arab Emirates,ARE,2008,254.308,486.951
Uzbekistan,UZB,2008,11517.762,15357.337
Venezuela,VEN,2008,236.341,212.889
Vietnam,VNM,2008,437416,429523
Yemen,YEM,2008,2217.365,1973.749
Zambia,ZMB,2008,13.054,12.606
Algeria,DZA,2009,4220.957,3676.062
Angola,AGO,2009,2510.197,2069.733
Azerbaijan,AZE,2009,12.028,14.368
Bahrain,BHR,2009,2.211,1.729
Bolivia,BOL,2009,43.602,43.619
Botswana,BWA,2009,39.49,29.024
Brunei Darussalam,BRN,2009,6.038,6.636
Cameroon,CMR,2009,1931.276,1925.928
Chad,TCD,2009,1057.776,655.001
Chile,CHL,2009,23797.395,19858.865
Colombia,COL,2009,148980.258,134879.209
"Congo, Republic of",COG,2009,1117.279,1334.761
Dem. Rep. of Congo,COD,2009,2055.6,2240.5
Ecuador,ECU,2009,20.61,18.378
Equatorial Guinea,GNQ,2009,2827.522,2368.087
Gabon,GAB,2009,1296.716,1685.163
Ghana,GHA,2009,8.582,6.017
Guinea,GIN,2009,5240.25,3662.49
Guyana,GUY,2009,134.188,118.887
Indonesia,IDN,2009,1023520.332,924686.395
Iran,IRN,2009,810201.928,842755.227
Iraq,IRQ,2009,76920.414,60330.969
Kazakhstan,KAZ,2009,3991.72,3765.851
Kuwait,KWT,2009,12.868,21.161
Libya,LBY,2009,45.947,41.786
Malaysia,MYS,2009,230.643,182.64
Mali,MLI,2009,1097.792,918.936
Mauritania,MRT,2009,227.982,198.434
Mexico,MEX,2009,3283.374,2668.803
Mongolia,MNG,2009,2336.63,1993.996
Myanmar,MMR,2009,5462.956,3740.035
Namibia,NAM,2009,23.976,23.874
Nigeria,NGA,2009,6848.463,4474.352
Norway,NOR,2009,1094.505,1345.376
Oman,OMN,2009,7.116,7.058
Papua New Guinea,PNG,2009,8.238,6.097
Peru,PER,2009,78.171,72.146
Qatar,QAT,2009,122.626,181.597
Russia,RUS,2009,16048.336,13599.718
Saudi Arabia,SAU,2009,644.444,578.569
Sierra Leone,SLE,2009,1451.956,1257.997
Sudan,SDN,2009,25.198,18.986
Suriname,SUR,2009,2.945,2.693
Syrian Arab Republic,SYR,2009,674.079,601.185
Tanzania,TZA,2009,7609.59,5918.763
Timor Leste,TLS,2009,0.604,1.763
Trinidad and Tobago ,TTO,2009,53.737,41.517
Turkmenistan,TKM,2009,7.723,11.768
United Arab Emirates,ARE,2009,325.875,286.053
Uzbekistan,UZB,2009,16646.77,18009.672
Venezuela,VEN,2009,235.303,173.87
Vietnam,VNM,2009,571807.09,462877.9
Yemen,YEM,2009,1795.112,1274.598
Zambia,ZMB,2009,13.773,12.182
Algeria,DZA,2010,4439.854,4393.344
Angola,AGO,2010,3034.026,3295.49
Azerbaijan,AZE,2010,13.45,19.386
Bahrain,BHR,2010,2.76,2.196
Bolivia,BOL,2010,43.43,45.727
Botswana,BWA,2010,38.417,31.217
Brunei Darussalam,BRN,2010,6.762,8.18
Cameroon,CMR,2010,2066.942,1940.041
Chad,TCD,2010,1288.501,1068.841
Chile,CHL,2010,26499.255,26093.452
Colombia,COL,2010,160177.848,142207.045
"Congo, Republic of",COG,2010,1274.933,2231.2
Dem. Rep. of Congo,COD,2010,3319,3776.3
Ecuador,ECU,2010,24.123,23.186
Equatorial Guinea,GNQ,2010,2516.853,2150.931
Gabon,GAB,2010,1642.091,1834.003
Ghana,GHA,2010,12.008,7.694
Guinea,GIN,2010,8049.1,4257.69
Guyana,GUY,2010,140.686,127.571
Indonesia,IDN,2010,1159098.284,1073832.299
Iran,IRN,2010,917548.274,1049659.46
Iraq,IRQ,2010,80344.082,73571.55
Kazakhstan,KAZ,2010,4902.693,5223.314
Kuwait,KWT,2010,14.806,23.385
Libya,LBY,2010,50.552,61.504
Malaysia,MYS,2010,221.643,184.46
Mali,MLI,2010,1071.602,935.807
Mauritania,MRT,2010,269.005,262.003
Mexico,MEX,2010,3569.368,3002.406
Mongolia,MNG,2010,3080.685,3122.192
Myanmar,MMR,2010,6721.967,4551.171
Namibia,NAM,2010,27.367,23.538
Nigeria,NGA,2010,9236.157,6889.637
Norway,NOR,2010,1142.23,1424.775
Oman,OMN,2010,7.643,8.879
Papua New Guinea,PNG,2010,7.441,8.261
Peru,PER,2010,87.596,87.632
Qatar,QAT,2010,143.795,173.867
Russia,RUS,2010,17616.656,16031.93
Saudi Arabia,SAU,2010,719.518,822.077
Sierra Leone,SLE,2010,2073.764,1560.742
Sudan,SDN,2010,28.815,29.245
Suriname,SUR,2010,3.092,2.725
Syrian Arab Republic,SYR,2010,799.504,582.024
Tanzania,TZA,2010,8875.604,6785.442
Timor Leste,TLS,2010,0.76,2.422
Trinidad and Tobago ,TTO,2010,49.491,44.537
Turkmenistan,TKM,2010,8.878,10.17
United Arab Emirates,ARE,2010,343.013,364.131
Uzbekistan,UZB,2010,19815.533,22865.398
Venezuela,VEN,2010,321.105,215.722
Vietnam,VNM,2010,647711,588234
Yemen,YEM,2010,2049.855,1774.415
Zambia,ZMB,2010,17.563,15.198
Algeria,DZA,2011,5853.482,5790.129
Angola,AGO,2011,3927.547,4776.149
Azerbaijan,AZE,2011,17.368,23.292
Bahrain,BHR,2011,3.003,2.843
Bolivia,BOL,2011,58.773,60.155
Botswana,BWA,2011,38.668,38.512
Brunei Darussalam,BRN,2011,6.922,12.819
Cameroon,CMR,2011,2576.093,2250.155
Chad,TCD,2011,1284.476,1421.762
Chile,CHL,2011,28195.513,29901.252
Colombia,COL,2011,178027.123,165690.182
"Congo, Republic of",COG,2011,1774.4,2894
Dem. Rep. of Congo,COD,2011,3543.6,3438.9
Ecuador,ECU,2011,31.195,31.19
Equatorial Guinea,GNQ,2011,2767.018,2849.028
Gabon,GAB,2011,2275.218,2486.186
Ghana,GHA,2011,15.826,11.441
Guinea,GIN,2011,7246.9,6824.141
Guyana,GUY,2011,159.65,143.325
Indonesia,IDN,2011,1382960.413,1336271.877
Iran,IRN,2011,1189794.916,1203714.331
Iraq,IRQ,2011,94252.996,104563.988
Kazakhstan,KAZ,2011,5997.106,7638.32
Kuwait,KWT,2011,16.619,31.026
Libya,LBY,2011,23.366,16.614
Malaysia,MYS,2011,250.477,217.488
Mali,MLI,2011,1258.365,1049.597
Mauritania,MRT,2011,323.972,324.064
Mexico,MEX,2011,3922.73,3437.057
Mongolia,MNG,2011,4997.04,4468.27
Myanmar,MMR,2011,7207.807,5200.601
Namibia,NAM,2011,34.574,28.282
Nigeria,NGA,2011,11039.277,11296.005
Norway,NOR,2011,1200.82,1569.13
Oman,OMN,2011,10.279,12.734
Papua New Guinea,PNG,2011,8.764,9.28
Peru,PER,2011,93.158,103.664
Qatar,QAT,2011,181.372,246.147
Russia,RUS,2011,19994.645,20855.368
Saudi Arabia,SAU,2011,891.82,1193.379
Sierra Leone,SLE,2011,2751.942,2170.759
Sudan,SDN,2011,31.979,32.357
Suriname,SUR,2011,3.779,3.853
Syrian Arab Republic,SYR,2011,,
Tanzania,TZA,2011,10101.968,8221.254
Timor Leste,TLS,2011,1.105,3.568
Trinidad and Tobago ,TTO,2011,51.625,51.527
Turkmenistan,TKM,2011,12.18,15.218
United Arab Emirates,ARE,2011,401.43,482.329
Uzbekistan,UZB,2011,24414.196,31294.161
Venezuela,VEN,2011,535.834,378.475
Vietnam,VNM,2011,748897,719403
Yemen,YEM,2011,2087.875,1772.542
Zambia,ZMB,2011,22.267,20.233
Algeria,DZA,2012,7058.173,6395.462
Angola,AGO,2012,4548.766,5053.803
Azerbaijan,AZE,2012,19.782,21.832
Bahrain,BHR,2012,3.418,3.053
Bolivia,BOL,2012,67.447,70.729
Botswana,BWA,2012,40.736,41.649
Brunei Darussalam,BRN,2012,7.377,10.948
Cameroon,CMR,2012,2640.734,2425.814
Chad,TCD,2012,1512.111,1542.084
Chile,CHL,2012,30614.297,31499.815
Colombia,COL,2012,187773.255,188311.73
"Congo, Republic of",COG,2012,2525.9,2975.8
Dem. Rep. of Congo,COD,2012,3910.3,4369.1
Ecuador,ECU,2012,35.394,34.57
Equatorial Guinea,GNQ,2012,4023.498,3194.71
Gabon,GAB,2012,2497.824,2638.092
Ghana,GHA,2012,23.11,13.935
Guinea,GIN,2012,10342.15,9046.635
Guyana,GUY,2012,181.379,153.685
Indonesia,IDN,2012,1622837.246,1486152.643
Iran,IRN,2012,1039256,1015802.928
Iraq,IRQ,2012,109041.145,119449.324
Kazakhstan,KAZ,2012,6796.054,8170.301
Kuwait,KWT,2012,18.469,35.8
Libya,LBY,2012,45.978,74.714
Malaysia,MYS,2012,279.7,243.227
Mali,MLI,2012,986.591,925.843
Mauritania,MRT,2012,429.956,465.611
Mexico,MEX,2012,4300.1,3723.781
Mongolia,MNG,2012,6492.904,4975.892
Myanmar,MMR,2012,11954.915,11152.386
Namibia,NAM,2012,37.448,35.954
Nigeria,NGA,2012,10226.048,10416.044
Norway,NOR,2012,1252.47,1654.07
Oman,OMN,2012,12.983,14.352
Papua New Guinea,PNG,2012,10.383,9.358
Peru,PER,2012,103.306,112.904
Qatar,QAT,2012,217.036,317.076
Russia,RUS,2012,23174.718,23435.105
Saudi Arabia,SAU,2012,977.562,1383.135
Sierra Leone,SLE,2012,3357.859,2506.07
Sudan,SDN,2012,29.741,22.266
Suriname,SUR,2012,4.763,4.13
Syrian Arab Republic,SYR,2012,,
Tanzania,TZA,2012,12153.773,9623.533
Timor Leste,TLS,2012,1.247,4.093
Trinidad and Tobago ,TTO,2012,53.255,52.84
Turkmenistan,TKM,2012,14.695,21.046
United Arab Emirates,ARE,2012,400.893,550.034
Uzbekistan,UZB,2012,31938.09,40112.898
Venezuela,VEN,2012,654.39,384.821
Vietnam,VNM,2012,954229.408,733446
Yemen,YEM,2012,2747.697,2268.593
Zambia,ZMB,2012,28.685,24.541
Algeria,DZA,2013,6092.124,5957.546
Angola,AGO,2013,4888.694,4848.532
Azerbaijan,AZE,2013,21.932,22.755
Bahrain,BHR,2013,3.527,2.993
Bolivia,BOL,2013,81.418,82.795
Botswana,BWA,2013,41.73,48.643
Brunei Darussalam,BRN,2013,7.602,10.439
Cameroon,CMR,2013,3199.758,2622.609
Chad,TCD,2013,1463.564,1331.033
Chile,CHL,2013,32498.617,31853.997
Colombia,COL,2013,206555.415,199864.479
"Congo, Republic of",COG,2013,2555.1,3122.7
Dem. Rep. of Congo,COD,2013,3681.2,4588.1
Ecuador,ECU,2013,41.607,37.26
Equatorial Guinea,GNQ,2013,3276.879,2672.985
Gabon,GAB,2013,2468.031,2621.795
Ghana,GHA,2013,25.955,15.63
Guinea,GIN,2013,10785.42,8543.92
Guyana,GUY,2013,183.257,157.221
Indonesia,IDN,2013,1822525.027,1632381.07
Iran,IRN,2013,1415137.6,1326784.6
Iraq,IRQ,2013,131242.204,115417.554
Kazakhstan,KAZ,2013,7130.917,8911.319
Kuwait,KWT,2013,18.715,36.118
Libya,LBY,2013,58.133,54.762
Malaysia,MYS,2013,289.058,245.434
Mali,MLI,2013,1307.25,1151.093
Mauritania,MRT,2013,436.742,422.663
Mexico,MEX,2013,4522.788,3905.347
Mongolia,MNG,2013,7688.585,5983.606
Myanmar,MMR,2013,13800.719,12685.259
Namibia,NAM,2013,45.32,39.583
Nigeria,NGA,2013,10859.802,8949.41
Norway,NOR,2013,1329.898,1668.627
Oman,OMN,2013,13.588,14.548
Papua New Guinea,PNG,2013,12.5,9.74
Peru,PER,2013,117.836,121.786
Qatar,QAT,2013,234.271,387.098
Russia,RUS,2013,25290.909,24442.686
Saudi Arabia,SAU,2013,1059.769,1303.798
Sierra Leone,SLE,2013,3337.085,2827.586
Sudan,SDN,2013,41.459,34.311
Suriname,SUR,2013,5.234,4.082
Syrian Arab Republic,SYR,2013,,
Tanzania,TZA,2013,13750.59,10970.332
Timor Leste,TLS,2013,1.081,4.058
Trinidad and Tobago ,TTO,2013,60.714,57.264
Turkmenistan,TKM,2013,18.85,20.379
United Arab Emirates,ARE,2013,434.489,581.339
Uzbekistan,UZB,2013,39983.684,43436.671
Venezuela,VEN,2013,837.948,516.625
Vietnam,VNM,2013,1031607.451,820954
Yemen,YEM,2013,2674.693,2075.69
Zambia,ZMB,2013,36.313,26.635
Algeria,DZA,2014,6799.384,5730.954
Angola,AGO,2014,4682.4,4322.8
Azerbaijan,AZE,2014,22.304,22.565
Bahrain,BHR,2014,3.845,3.113
Bolivia,BOL,2014,98.584,90.914
Botswana,BWA,2014,51.263,51.828
Brunei Darussalam,BRN,2014,7.343,10.035
Cameroon,CMR,2014,3546.163,2743.582
Chad,TCD,2014,1519.186,1230.108
Chile,CHL,2014,35686.682,33603.898
Colombia,COL,2014,227972.658,217237.388
"Congo, Republic of",COG,2014,2733.6,2863.6
Dem. Rep. of Congo,COD,2014,3766.2,4597.8
Ecuador,ECU,2014,44.311,39.109
Equatorial Guinea,GNQ,2014,2982.019,2401.943
Gabon,GAB,2014,2118.482,2369.756
Ghana,GHA,2014,31.937,20.874
Guinea,GIN,2014,13971.458,11951.134
Guyana,GUY,2014,216.192,182.857
Indonesia,IDN,2014,1978869.26,1751469.26
Iran,IRN,2014,1670958.29,1521868.237
Iraq,IRQ,2014,112036.601,104385.703
Kazakhstan,KAZ,2014,8686.454,9419.852
Kuwait,KWT,2014,22.042,34.455
Libya,LBY,2014,44.178,21.395
Malaysia,MYS,2014,298.175,258.812
Mali,MLI,2014,1578.449,1345.169
Mauritania,MRT,2014,479.104,424.007
Mexico,MEX,2014,4787.203,3998.686
Mongolia,MNG,2014,8518.469,6121.616
Myanmar,MMR,2014,18166.669,15470.992
Namibia,NAM,2014,56.349,48.721
Nigeria,NGA,2014,10885.039,8803.153
Norway,NOR,2014,1416.823,1693.287
Oman,OMN,2014,14.594,14.133
Papua New Guinea,PNG,2014,14.942,12.513
Peru,PER,2014,129.694,129.016
Qatar,QAT,2014,244.759,354.16
Russia,RUS,2014,27215.951,26371.059
Saudi Arabia,SAU,2014,1206.245,1193.446
Sierra Leone,SLE,2014,3845.425,3115.372
Sudan,SDN,2014,53.804,49.413
Suriname,SUR,2014,4.815,3.94
Syrian Arab Republic,SYR,2014,,
Tanzania,TZA,2014,15555.52,12479.404
Timor Leste,TLS,2014,1.303,2.434
Trinidad and Tobago ,TTO,2014,64.274,57.028
Turkmenistan,TKM,2014,21.099,22.189
United Arab Emirates,ARE,2014,447.376,535.717
Uzbekistan,UZB,2014,48982.742,51478.493
Venezuela,VEN,2014,1371.271,906.591
Vietnam,VNM,2014,1057735,845773
Yemen,YEM,2014,2580.6,2196.383
Zambia,ZMB,2014,40.622,31.446
Algeria,DZA,2015,7186.061,5069.8
Angola,AGO,2015,3614.189,3057.791
Azerbaijan,AZE,2015,22.194,18.599
Bahrain,BHR,2015,3.972,2.808
Bolivia,BOL,2015,94.605,83.892
Botswana,BWA,2015,54.153,55.227
Brunei Darussalam,BRN,2015,7.183,4.802
Cameroon,CMR,2015,3746.617,2738.702
Chad,TCD,2015,1226.387,989.144
Chile,CHL,2015,39740.874,36481.797
Colombia,COL,2015,235144.374,209527.974
"Congo, Republic of",COG,2015,2748.664,2344.935
Dem. Rep. of Congo,COD,2015,5098.2,5668.8
Ecuador,ECU,2015,40.391,34.85
Equatorial Guinea,GNQ,2015,2786.251,1789.195
Gabon,GAB,2015,2043.262,1886.679
Ghana,GHA,2015,34.046,25.608
Guinea,GIN,2015,16807.875,11728.672
Guyana,GUY,2015,227.293,195.74
Indonesia,IDN,2015,2062872.755,1794987.028
Iran,IRN,2015,1939773.238,1635633.436
Iraq,IRQ,2015,103218.262,82953.793
Kazakhstan,KAZ,2015,9083.547,7856.739
Kuwait,KWT,2015,21.188,23.541
Libya,LBY,2015,44.816,12.87
Malaysia,MYS,2015,300.013,260.564
Mali,MLI,2015,1684.498,1391.9
Mauritania,MRT,2015,477.847,457.091
Mexico,MEX,2015,4727.128,3982.521
Mongolia,MNG,2015,8562.476,6186.232
Myanmar,MMR,2015,22417.398,17817.071
Namibia,NAM,2015,62.266,54.412
Nigeria,NGA,2015,10202.905,8247.785
Norway,NOR,2015,1465.282,1700.882
Oman,OMN,2015,13.548,9.968
Papua New Guinea,PNG,2015,15.666,13.068
Peru,PER,2015,138.515,128.107
Qatar,QAT,2015,249.888,290.639
Russia,RUS,2015,29034.52,26250.596
Saudi Arabia,SAU,2015,1220.618,874.736
Sierra Leone,SLE,2015,4278.374,3178.64
Sudan,SDN,2015,63.464,55.605
Suriname,SUR,2015,4.787,3.74
Syrian Arab Republic,SYR,2015,,
Tanzania,TZA,2015,18124.007,14364.153
Timor Leste,TLS,2015,1.361,1.745
Trinidad and Tobago ,TTO,2015,63.1,55.942
Turkmenistan,TKM,2015,23.452,22.583
United Arab Emirates,ARE,2015,449.311,409.41
Uzbekistan,UZB,2015,58638.98,58680.955
Venezuela,VEN,2015,1976.426,1051.318
Vietnam,VNM,2015,1195415,911275.046
Yemen,YEM,2015,2194.163,1695.107
Zambia,ZMB,2015,43.741,34.067