country,iso,year,Change in general government total expenditure,Change in general government revenue
Algeria,DZA,2000,,
Angola,AGO,2000,,
Azerbaijan,AZE,2000,,
Bahrain,BHR,2000,,
Bolivia,BOL,2000,,
Botswana,BWA,2000,,
Brunei Darussalam,BRN,2000,,
Cameroon,CMR,2000,,
Chad,TCD,2000,,
Chile,CHL,2000,,
Colombia,COL,2000,,
"Congo, Republic of",COG,2000,,
Dem. Rep. of Congo,ZAR,2000,,
Ecuador,ECU,2000,,
Equatorial Guinea,GNQ,2000,,
Gabon,GAB,2000,,
Ghana,GHA,2000,,
Guinea,GIN,2000,,
Guyana,GUY,2000,,
Indonesia,IDN,2000,,
Iran,IRN,2000,,
Iraq,IRQ,2000,,
Kazakhstan,KAZ,2000,,
Kuwait,KWT,2000,,
Libya,LBY,2000,,
Malaysia,MYS,2000,,
Mali,MLI,2000,,
Mauritania,MRT,2000,,
Mexico,MEX,2000,,
Mongolia,MNG,2000,,
Myanmar,MMR,2000,,
Namibia,NAM,2000,,
Nigeria,NGA,2000,,
Norway,NOR,2000,,
Oman,OMN,2000,,
Papua New Guinea,PNG,2000,,
Peru,PER,2000,,
Qatar,QAT,2000,,
Russia,RUS,2000,,
Saudi Arabia,SAU,2000,,
Sierra Leone,SLE,2000,,
Sudan,SDN,2000,,
Suriname,SUR,2000,,
Syrian Arab Republic,SYR,2000,,
Tanzania,TZA,2000,,
Timor Leste,TLS,2000,,
Trinidad and Tobago ,TTO,2000,,
Turkmenistan,TKM,2000,,
United Arab Emirates,ARE,2000,,
Uzbekistan,UZB,2000,,
Venezuela,VEN,2000,,
Vietnam,VNM,2000,,
Yemen,YEM,2000,,
Zambia,ZMB,2000,,
Algeria,DZA,2001,0.121299831,-0.062766172
Angola,AGO,2001,0.817364348,0.879669518
Azerbaijan,AZE,2001,0.009155646,-0.008991009
Bahrain,BHR,2001,0.214739517,-0.092421442
Bolivia,BOL,2001,0.129146686,0.017535937
Botswana,BWA,2001,0.185072816,-0.09986543
Brunei Darussalam,BRN,2001,-0.082131224,-0.167584579
Cameroon,CMR,2001,0.087885443,0.025503245
Chad,TCD,2001,0.085137795,0.148046962
Chile,CHL,2001,0.090571021,0.10063437
Colombia,COL,2001,0.128603161,0.136003465
"Congo, Republic of",COG,2001,-0.140321713,0.036822189
Dem. Rep. of Congo,ZAR,2001,,
Ecuador,ECU,2001,0.163231462,0.180454545
Equatorial Guinea,GNQ,2001,-0.113332296,1.116929965
Gabon,GAB,2001,0.313009214,-0.028128566
Ghana,GHA,2001,0.524813896,0.768089054
Guinea,GIN,2001,0.247290034,0.206182273
Guyana,GUY,2001,0.083142578,0.016991327
Indonesia,IDN,2001,0.51016665,0.564902083
Iran,IRN,2001,0.200928706,-0.094392418
Iraq,IRQ,2001,,
Kazakhstan,KAZ,2001,,0.467617036
Kuwait,KWT,2001,0.086052009,-0.02877789
Libya,LBY,2001,0.454662973,-0.034740061
Malaysia,MYS,2001,0.089279971,0.205633914
Mali,MLI,2001,0.142403558,0.120837851
Mauritania,MRT,2001,,0.108709622
Mexico,MEX,2001,0.064292834,0.063491762
Mongolia,MNG,2001,0.158712883,0.222264909
Myanmar,MMR,2001,0.127080207,0.2167852
Namibia,NAM,2001,0.148548524,0.101456554
Nigeria,NGA,2001,0.470772817,0.131324458
Norway,NOR,2001,0.078838293,0.033795925
Oman,OMN,2001,0.063248503,-0.061136547
Papua New Guinea,PNG,2001,0.125691957,0.040795684
Peru,PER,2001,-0.019830473,-0.025852824
Qatar,QAT,2001,0.010397674,-0.088158686
Russia,RUS,2001,0.256713138,0.249521927
Saudi Arabia,SAU,2001,0.080894427,-0.004738582
Sierra Leone,SLE,2001,0.302625655,0.175347721
Sudan,SDN,2001,0.146327522,0.133925835
Suriname,SUR,2001,0.290123457,1.161073826
Syrian Arab Republic,SYR,2001,0.090815094,0.242400867
Tanzania,TZA,2001,0.120984906,0.151747522
Timor Leste,TLS,2001,,2.166666667
Trinidad and Tobago ,TTO,2001,0.191514437,0.111937035
Turkmenistan,TKM,2001,0.208101668,0.276785714
United Arab Emirates,ARE,2001,0.16155181,-0.234770329
Uzbekistan,UZB,2001,0.379305034,0.416692685
Venezuela,VEN,2001,0.258951946,-0.068785706
Vietnam,VNM,2001,0.175777686,0.144783965
Yemen,YEM,2001,0.026193437,-0.06048185
Zambia,ZMB,2001,0.723936614,0.290743671
Algeria,DZA,2002,0.173817663,0.083956233
Angola,AGO,2002,1.513313413,1.112887511
Azerbaijan,AZE,2002,0.691532258,0.668346774
Bahrain,BHR,2002,0.20292887,0.045824847
Bolivia,BOL,2002,0.097853278,0.027366864
Botswana,BWA,2002,0.149147831,0.126839248
Brunei Darussalam,BRN,2002,0.217490494,0.008506616
Cameroon,CMR,2002,0.001510254,0.067210802
Chad,TCD,2002,0.271201814,0.269230769
Chile,CHL,2002,0.068108203,0.036421345
Colombia,COL,2002,0.100398123,0.078495319
"Congo, Republic of",COG,2002,0.161298104,-0.089285516
Dem. Rep. of Congo,ZAR,2002,,
Ecuador,ECU,2002,0.245213849,0.218713901
Equatorial Guinea,GNQ,2002,-0.021305056,0.19104023
Gabon,GAB,2002,-0.070247962,-0.071343609
Ghana,GHA,2002,0.04637917,0.004197272
Guinea,GIN,2002,0.039073288,0.010025224
Guyana,GUY,2002,0.012813123,0.072317372
Indonesia,IDN,2002,-0.039600515,0.019768951
Iran,IRN,2002,0.640387433,0.583276403
Iraq,IRQ,2002,,
Kazakhstan,KAZ,2002,,0.016686653
Kuwait,KWT,2002,0.056160209,-0.074141757
Libya,LBY,2002,0.393043037,0.62843746
Malaysia,MYS,2002,0.045313206,0.055984198
Mali,MLI,2002,0.160182683,0.156618573
Mauritania,MRT,2002,,0.534811066
Mexico,MEX,2002,0.101210752,0.091867169
Mongolia,MNG,2002,0.124049987,0.110710386
Myanmar,MMR,2002,0.280411413,0.418106852
Namibia,NAM,2002,0.127115059,0.150478796
Nigeria,NGA,2002,-0.1249623,0.044736739
Norway,NOR,2002,0.051670059,-0.036807197
Oman,OMN,2002,0.065821894,0.003729203
Papua New Guinea,PNG,2002,0.074052647,0.048590865
Peru,PER,2002,-0.004911119,0.029990182
Qatar,QAT,2002,0.11192938,0.294352889
Russia,RUS,2002,0.301589744,0.212231954
Saudi Arabia,SAU,2002,0.011160197,-0.106970872
Sierra Leone,SLE,2002,0.27345967,0.321564495
Sudan,SDN,2002,0.255048616,0.272162162
Suriname,SUR,2002,0.341307815,0.01552795
Syrian Arab Republic,SYR,2002,0.126029229,-0.033537353
Tanzania,TZA,2002,0.261991519,0.235956909
Timor Leste,TLS,2002,,0.789473684
Trinidad and Tobago ,TTO,2002,-0.079809594,-0.146021759
Turkmenistan,TKM,2002,0.073635766,0.048315321
United Arab Emirates,ARE,2002,-0.101180527,-0.242034264
Uzbekistan,UZB,2002,0.586467099,0.566523534
Venezuela,VEN,2002,0.177845134,0.310207107
Vietnam,VNM,2002,0.145363857,0.171607885
Yemen,YEM,2002,0.140782341,0.02637574
Zambia,ZMB,2002,0.230285438,0.304321177
Algeria,DZA,2003,0.090741536,0.214655046
Angola,AGO,2003,1.200468826,1.069305582
Azerbaijan,AZE,2003,0.21454112,0.155287009
Bahrain,BHR,2003,0.06,0.11587147
Bolivia,BOL,2003,0.04938795,0.074730022
Botswana,BWA,2003,0.036028008,0.130577474
Brunei Darussalam,BRN,2003,-0.185925463,0.155107779
Cameroon,CMR,2003,0.023040071,-0.039939571
Chad,TCD,2003,0.241883696,0.253471167
Chile,CHL,2003,0.045309331,0.080164187
Colombia,COL,2003,0.107765221,0.141264217
"Congo, Republic of",COG,2003,0.03909293,0.066188866
Dem. Rep. of Congo,ZAR,2003,,
Ecuador,ECU,2003,0.077363428,0.091627172
Equatorial Guinea,GNQ,2003,0.575792058,0.136749002
Gabon,GAB,2003,-0.157148649,0.004852743
Ghana,GHA,2003,0.535769829,0.724137931
Guinea,GIN,2003,0.205597092,0.086391596
Guyana,GUY,2003,0.058469036,-0.05974771
Indonesia,IDN,2003,0.18654127,0.155719964
Iran,IRN,2003,0.220431525,0.262530578
Iraq,IRQ,2003,,
Kazakhstan,KAZ,2003,0.270561159,0.37906147
Kuwait,KWT,2003,0.088417148,0.092485549
Libya,LBY,2003,0.319146997,0.292918288
Malaysia,MYS,2003,0.130037956,0.106362969
Mali,MLI,2003,0.052556611,0.17481366
Mauritania,MRT,2003,,0.102356983
Mexico,MEX,2003,0.067372035,0.12591475
Mongolia,MNG,2003,0.118572666,0.161071504
Myanmar,MMR,2003,0.45867545,0.272189232
Namibia,NAM,2003,0.097485457,-0.015755054
Nigeria,NGA,2003,0.405426091,0.190048998
Norway,NOR,2003,0.068026201,0.027980525
Oman,OMN,2003,0.066380449,0.083738211
Papua New Guinea,PNG,2003,0.026393752,0.131912264
Peru,PER,2003,0.098465748,0.087553078
Qatar,QAT,2003,0.105837975,0.042949784
Russia,RUS,2003,0.17557293,0.200387164
Saudi Arabia,SAU,2003,0.050994387,0.269057373
Sierra Leone,SLE,2003,0.162705018,0.167423699
Sudan,SDN,2003,0.388756456,0.576163161
Suriname,SUR,2003,-0.045184304,0.310397554
Syrian Arab Republic,SYR,2003,0.101266141,0.087268473
Tanzania,TZA,2003,0.308611293,0.222716652
Timor Leste,TLS,2003,0.147540984,0.264705882
Trinidad and Tobago ,TTO,2003,0.124554921,0.375518035
Turkmenistan,TKM,2003,0.407838334,0.662219527
United Arab Emirates,ARE,2003,0.064229674,0.190612139
Uzbekistan,UZB,2003,0.17282696,0.243680518
Venezuela,VEN,2003,0.292318741,0.364476289
Vietnam,VNM,2003,0.286983191,0.256671268
Yemen,YEM,2003,0.319925135,0.184298327
Zambia,ZMB,2003,0.245969328,0.19924812
Algeria,DZA,2004,0.118493822,0.137477105
Angola,AGO,2004,0.282716546,0.543907541
Azerbaijan,AZE,2004,0.082433759,0.19665272
Bahrain,BHR,2004,0.056603774,0.135253054
Bolivia,BOL,2004,0.137201434,0.250066988
Botswana,BWA,2004,0.068014254,0.109134704
Brunei Darussalam,BRN,2004,0.250127877,0.247667343
Cameroon,CMR,2004,0.091912274,0.011739575
Chad,TCD,2004,-0.032525136,0.106799806
Chile,CHL,2004,0.070542967,0.198085007
Colombia,COL,2004,0.072555288,0.13042382
"Congo, Republic of",COG,2004,0.084257931,0.215647922
Dem. Rep. of Congo,ZAR,2004,,
Ecuador,ECU,2004,0.13405192,0.183357453
Equatorial Guinea,GNQ,2004,0.90312554,0.641738935
Gabon,GAB,2004,0.065899008,0.042602731
Ghana,GHA,2004,0.362025316,0.39030303
Guinea,GIN,2004,0.049344979,0.078412087
Guyana,GUY,2004,0.071533933,0.183318311
Indonesia,IDN,2004,0.118648063,0.171741829
Iran,IRN,2004,0.181784653,0.322400142
Iraq,IRQ,2004,,
Kazakhstan,KAZ,2004,0.309607551,0.23258344
Kuwait,KWT,2004,0.134444234,0.275261324
Libya,LBY,2004,0.26044905,0.400746358
Malaysia,MYS,2004,0.043898705,0.086628369
Mali,MLI,2004,0.099905095,0.039945725
Mauritania,MRT,2004,,0.089652752
Mexico,MEX,2004,0.080395325,0.135698453
Mongolia,MNG,2004,0.222040331,0.287467864
Myanmar,MMR,2004,0.188642879,0.271197893
Namibia,NAM,2004,0.044712319,0.105305547
Nigeria,NGA,2004,0.029127333,0.476802896
Norway,NOR,2004,0.031723453,0.116147734
Oman,OMN,2004,0.151440074,0.136867089
Papua New Guinea,PNG,2004,0.077407505,0.177674672
Peru,PER,2004,0.077845335,0.110491368
Qatar,QAT,2004,0.431976836,0.814082948
Russia,RUS,2004,0.171670017,0.298789463
Saudi Arabia,SAU,2004,0.173008297,0.368782038
Sierra Leone,SLE,2004,0.157384628,0.319789465
Sudan,SDN,2004,0.623086826,0.546165251
Suriname,SUR,2004,0.403486924,0.250875146
Syrian Arab Republic,SYR,2004,0.132041676,0.069532037
Tanzania,TZA,2004,0.278638978,0.238965773
Timor Leste,TLS,2004,0,3.139534884
Trinidad and Tobago ,TTO,2004,0.251388972,0.248730681
Turkmenistan,TKM,2004,0.212701174,0.091207588
United Arab Emirates,ARE,2004,0.04991208,0.299054427
Uzbekistan,UZB,2004,0.185158503,0.199523497
Venezuela,VEN,2004,0.571663425,0.684308713
Vietnam,VNM,2004,0.112718468,0.247991266
Yemen,YEM,2004,0.147680243,0.220545209
Zambia,ZMB,2004,0.091841565,0.209443574
Algeria,DZA,2005,0.084718589,0.391622746
Angola,AGO,2005,0.457684955,0.780988902
Azerbaijan,AZE,2005,0.286944696,0.373688811
Bahrain,BHR,2005,0.162267081,0.284396618
Bolivia,BOL,2005,0.134902309,0.276941214
Botswana,BWA,2005,0.01432434,0.281211716
Brunei Darussalam,BRN,2005,0.044803601,0.294748821
Cameroon,CMR,2005,-0.039720667,0.236411879
Chad,TCD,2005,0.202412272,0.470304407
Chile,CHL,2005,0.105113775,0.232177923
Colombia,COL,2005,0.075728186,0.129186973
"Congo, Republic of",COG,2005,0.182005455,0.67028694
Dem. Rep. of Congo,ZAR,2005,,
Ecuador,ECU,2005,0.18875502,0.118503119
Equatorial Guinea,GNQ,2005,0.257077398,0.823068421
Gabon,GAB,2005,0.211420287,0.256000371
Ghana,GHA,2005,0.14535316,0.147776809
Guinea,GIN,2005,0.234764198,0.588011365
Guyana,GUY,2005,0.249009366,0.094319447
Indonesia,IDN,2005,0.181488913,0.228107894
Iran,IRN,2005,0.512920545,0.430434896
Iraq,IRQ,2005,-0.045327364,0.657835641
Kazakhstan,KAZ,2005,0.302414597,0.47921031
Kuwait,KWT,2005,0.107494575,0.705322809
Libya,LBY,2005,-0.013757194,0.607640083
Malaysia,MYS,2005,0.04541237,0.062314642
Mali,MLI,2005,0.138728259,0.114067317
Mauritania,MRT,2005,0.111527121,0.085957029
Mexico,MEX,2005,0.121773097,0.124943902
Mongolia,MNG,2005,0.016109505,0.1749302
Myanmar,MMR,2005,0.394363191,0.570686825
Namibia,NAM,2005,0.05613748,0.152472903
Nigeria,NGA,2005,0.339675307,0.295911148
Norway,NOR,2005,0.036315117,0.132566692
Oman,OMN,2005,0.124529317,0.324982603
Papua New Guinea,PNG,2005,0.192888456,0.229895713
Peru,PER,2005,0.129494121,0.166969624
Qatar,QAT,2005,0.406198931,0.195549574
Russia,RUS,2005,0.261822221,0.374940064
Saudi Arabia,SAU,2005,0.10768232,0.399371235
Sierra Leone,SLE,2005,0.21337262,0.245820915
Sudan,SDN,2005,0.491759937,0.336500741
Suriname,SUR,2005,0.181011535,0.185634328
Syrian Arab Republic,SYR,2005,0.06941729,0.041067332
Tanzania,TZA,2005,0.229335979,0.177818598
Timor Leste,TLS,2005,0.342857143,0.202247191
Trinidad and Tobago ,TTO,2005,0.267961999,0.35990349
Turkmenistan,TKM,2005,0.260043042,0.222668004
United Arab Emirates,ARE,2005,0.086340515,0.662765994
Uzbekistan,UZB,2005,0.214443465,0.242181192
Venezuela,VEN,2005,0.502143583,0.564493853
Vietnam,VNM,2005,0.244270246,0.195921818
Yemen,YEM,2005,0.347130776,0.366484516
Zambia,ZMB,2005,0.206821795,0.20962255
Algeria,DZA,2006,0.196073463,0.180763843
Angola,AGO,2006,0.507224624,0.551816836
Azerbaijan,AZE,2006,0.774216273,0.671333121
Bahrain,BHR,2006,0.120908484,0.101735488
Bolivia,BOL,2006,0.07097582,0.320785597
Botswana,BWA,2006,0.119385209,0.202060153
Brunei Darussalam,BRN,2006,0.099079695,0.210949272
Cameroon,CMR,2006,0.068585054,1.797677631
Chad,TCD,2006,0.339141515,0.561784383
Chile,CHL,2006,0.101848142,0.258064864
Colombia,COL,2006,0.240999077,0.198110153
"Congo, Republic of",COG,2006,0.447677252,0.441759653
Dem. Rep. of Congo,ZAR,2006,,
Ecuador,ECU,2006,0.118018018,0.231467308
Equatorial Guinea,GNQ,2006,0.565400837,0.491807127
Gabon,GAB,2006,0.08299072,0.103484342
Ghana,GHA,2006,0.321648815,0.212305355
Guinea,GIN,2006,0.588274664,0.469677839
Guyana,GUY,2006,0.1352657,0.161778682
Indonesia,IDN,2006,0.276735784,0.271562516
Iran,IRN,2006,0.255023859,0.212317501
Iraq,IRQ,2006,0.035097845,0.179458721
Kazakhstan,KAZ,2006,0.20377431,0.315328345
Kuwait,KWT,2006,0.417483044,0.115831949
Libya,LBY,2006,0.250027787,0.215005479
Malaysia,MYS,2006,0.144254926,0.162027222
Mali,MLI,2006,0.117372196,1.893585155
Mauritania,MRT,2006,0.202923308,0.564452353
Mexico,MEX,2006,0.175547622,0.193099559
Mongolia,MNG,2006,0.37971245,0.623676088
Myanmar,MMR,2006,0.543761879,0.488375826
Namibia,NAM,2006,0.106849527,0.259622224
Nigeria,NGA,2006,-0.166127978,0.129411028
Norway,NOR,2006,0.068541292,0.143790038
Oman,OMN,2006,0.176751973,0.211834734
Papua New Guinea,PNG,2006,0.05839118,0.184850198
Peru,PER,2006,0.100427222,0.24352852
Qatar,QAT,2006,0.322624488,0.311323587
Russia,RUS,2006,0.227923166,0.238492025
Saudi Arabia,SAU,2006,0.102150308,0.187938287
Sierra Leone,SLE,2006,0.079762068,0.096816708
Sudan,SDN,2006,0.093046612,0.138281912
Suriname,SUR,2006,0.084898573,0.195908733
Syrian Arab Republic,SYR,2006,0.071107488,0.215745419
Tanzania,TZA,2006,0.172764841,0.153875599
Timor Leste,TLS,2006,0.223404255,2.168224299
Trinidad and Tobago ,TTO,2006,0.356664157,0.409120778
Turkmenistan,TKM,2006,-0.053230857,0.229149576
United Arab Emirates,ARE,2006,0.220662447,0.39837882
Uzbekistan,UZB,2006,0.28166433,0.457119324
Venezuela,VEN,2006,0.517060445,0.296705794
Vietnam,VNM,2006,0.156289166,0.224206302
Yemen,YEM,2006,0.191007503,0.29286945
Zambia,ZMB,2006,0.083952096,1.253247623
Algeria,DZA,2007,0.26884717,0.013170655
Angola,AGO,2007,0.481614123,0.260933478
Azerbaijan,AZE,2007,0.460393091,0.524271845
Bahrain,BHR,2007,0.137067938,0.107007061
Bolivia,BOL,2007,0.228810463,0.125663267
Botswana,BWA,2007,0.257637939,0.035723325
Brunei Darussalam,BRN,2007,0.068590771,-0.31231854
Cameroon,CMR,2007,0.118857104,-0.553634064
Chad,TCD,2007,0.307986649,0.295198162
Chile,CHL,2007,0.140743396,0.149953986
Colombia,COL,2007,0.11297731,0.118568799
"Congo, Republic of",COG,2007,0.069839981,-0.120685412
Dem. Rep. of Congo,ZAR,2007,,
Ecuador,ECU,2007,0.264504432,0.194264406
Equatorial Guinea,GNQ,2007,0.292620996,0.097348994
Gabon,GAB,2007,0.030040735,0.034075543
Ghana,GHA,2007,0.30132613,0.269423559
Guinea,GIN,2007,-0.203457535,0.092812011
Guyana,GUY,2007,0.040157873,0.147396679
Indonesia,IDN,2007,0.198171918,0.115119281
Iran,IRN,2007,0.093297397,0.355115298
Iraq,IRQ,2007,0.068548627,0.030688413
Kazakhstan,KAZ,2007,0.506256552,0.321633986
Kuwait,KWT,2007,0.042955875,0.169378856
Libya,LBY,2007,0.277152892,0.167938931
Malaysia,MYS,2007,0.128583492,0.131635574
Mali,MLI,2007,0.05355757,-0.59400267
Mauritania,MRT,2007,0.104782335,-0.072908956
Mexico,MEX,2007,0.10351259,0.095405973
Mongolia,MNG,2007,0.658603843,0.382295778
Myanmar,MMR,2007,0.310538658,0.328426094
Namibia,NAM,2007,0.114875744,0.237796461
Nigeria,NGA,2007,0.681272068,-0.07046535
Norway,NOR,2007,0.064370797,0.043847529
Oman,OMN,2007,0.159756098,0.105749783
Papua New Guinea,PNG,2007,0.027199074,0.114503817
Peru,PER,2007,0.083424468,0.15611557
Qatar,QAT,2007,0.284480319,0.371598961
Russia,RUS,2007,0.358599193,0.258093217
Saudi Arabia,SAU,2007,0.189355963,-0.041232365
Sierra Leone,SLE,2007,-0.101358546,1.52825596
Sudan,SDN,2007,0.268403416,0.159933528
Suriname,SUR,2007,0.186980609,0.244078947
Syrian Arab Republic,SYR,2007,0.142524382,0.054618258
Tanzania,TZA,2007,0.163809253,0.323959969
Timor Leste,TLS,2007,1.182608696,1.008849558
Trinidad and Tobago ,TTO,2007,0.081314351,0.02051856
Turkmenistan,TKM,2007,0.091100421,0.042046719
United Arab Emirates,ARE,2007,0.311818004,0.119551607
Uzbekistan,UZB,2007,0.422553847,0.404821883
Venezuela,VEN,2007,0.149481837,0.104596926
Vietnam,VNM,2007,0.266300588,0.16447408
Yemen,YEM,2007,0.237306399,-0.01425281
Zambia,ZMB,2007,0.238426693,-0.368439822
Algeria,DZA,2008,0.345644622,0.407491357
Angola,AGO,2008,0.83293798,0.514291349
Azerbaijan,AZE,2008,0.608075041,1.426127139
Bahrain,BHR,2008,0.198113208,0.323846909
Bolivia,BOL,2008,0.267875725,0.325307666
Botswana,BWA,2008,0.416082507,0.031803107
Brunei Darussalam,BRN,2008,0.024674892,1.157117008
Cameroon,CMR,2008,0.296186735,0.115138231
Chad,TCD,2008,0.232786076,0.280378503
Chile,CHL,2008,0.163078438,-0.017701806
Colombia,COL,2008,0.058530283,0.081163469
"Congo, Republic of",COG,2008,0.04505417,0.581293387
Dem. Rep. of Congo,ZAR,2008,,
Ecuador,ECU,2008,0.733471404,0.640175452
